movie_id,budget,original_language,popularity,release_date,runtime,runtime_cat,revenue,sw_lang_en,sw_web_presence,sw_has_poster,sw_tagline,keyword_cnt,release_year,release_month,high_release_month,release_day,seasonality,sw_collection,producers_cnt,countries_cnt,lang_US,lang_FR,lang_RU,lang_ES,lang_JA,keywords_cnt,actor0_movies_cnt,actor0_movies_5y_cnt,actor1_movies_cnt,actor1_movies_5y_cnt,actor2_movies_cnt,actor2_movies_5y_cnt,sw_female_actor0,sw_female_actor1,sw_female_actor2,sw_male_actor0,sw_male_actor1,sw_male_actor2,actor0_prev_revenue,actor1_prev_revenue,actor2_prev_revenue,director_movies_cnt,director_movies_5y_cnt,genre_adventure,genre_fantasy,genre_animation,genre_drama,genre_horror,genre_action,genre_comedy,genre_history,genre_western,genre_thriller,genre_crime,genre_documentary,genre_science_fiction,genre_mystery,genre_music,genre_romance,genre_family,genre_war,genre_foreign,depart_Art,depart_Camera,depart_Crew,depart_Custom_Mkup,depart_Directing,depart_Editing,depart_Lighting,depart_Production,depart_Sound,depart_Visual_Effects,depart_Writing,depart_Art_female,depart_Camera_female,depart_Crew_female,depart_Custom_Mkup_female,depart_Directing_female,depart_Editing_female,depart_Lighting_female,depart_Production_female,depart_Sound_female,depart_Visual_Effects_female,depart_Writing_female
1,14000000,en,6.575393,2015-02-20,93,Short,12314651,1,0,1,1,4,2015,2,0,20,-15309317,0,3,1,1,0,0,0,0,4,18,11,13,4,8,6,0,0,0,1,1,1,116980662,219076518,121463226,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,13,4,2,4,9,10,4,2,0,0,0,0,0,0,0,0,0,0,0
2,40000000,en,8.248895,2004-08-06,113,Medium,95149435,1,0,1,1,4,2004,8,1,6,-33273015,0,1,1,1,0,0,0,0,4,3,3,10,2,13,4,1,1,0,0,0,1,165335153,165335153,309457509,9,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,3,0,0,1
3,3300000,en,64.29999,2014-10-10,105,Medium,13092000,1,1,1,1,12,2014,10,1,10,-28659422,0,3,1,1,0,0,0,0,12,7,7,34,11,0,0,0,0,1,1,1,0,48065672,231411584,NULL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,5,3,6,1,18,9,3,1,1,0,1,0,0,0,0,2,0,0,0
4,1200000,hi,3.174936,2012-03-09,122,Large,16000000,0,1,1,0,7,2012,3,0,9,-7149862,0,NULL,1,1,0,0,0,0,7,2,1,2,2,0,0,1,0,0,0,1,0,4100000,NULL,NULL,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,ko,1.14807,2009-02-05,118,Medium,3923970,0,0,1,0,0,2009,2,0,5,-15309317,0,NULL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,8000000,en,0.743274,1987-08-06,83,Short,3261638,1,0,1,0,0,1987,8,1,6,-33273015,0,NULL,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,NULL,NULL,NULL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0
7,14000000,en,7.286477,2012-08-30,92,Short,85446075,1,1,1,1,0,2012,8,1,30,-33273015,0,2,2,1,0,0,0,0,0,8,7,0,0,1,1,0,0,1,1,0,0,97838349,NULL,297138014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11,11,12,4,9,4,8,8,2,4,1,0,0,1,1,0,0,3,0,0,0
8,0,en,1.949044,2004-01-15,84,Short,2586511,1,0,1,1,7,2004,1,0,15,-50746591,0,NULL,0,1,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,1,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,en,6.902423,1996-02-16,100,Medium,34327391,1,0,1,1,4,1996,2,0,16,-15309317,0,3,1,1,0,0,0,0,4,12,7,0,0,0,0,0,0,1,1,1,0,152022101,NULL,NULL,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
10,6000000,en,4.672036,2003-04-16,91,Short,18750246,1,0,1,1,2,2003,4,0,16,-28405871,0,1,1,1,0,0,0,0,2,10,3,6,1,4,2,0,0,0,1,1,1,147845033,243240178,64256513,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,1,1,0,2,0,0,2,1,1,0,1,0,0,0,1,0,0,0
